uuid	lineage	susceptibility	genotype
2d3b1663-498e-4343-9464-a66c13b8d08a	22	RSRSRSSSRRRS	MRSA:PVL-
5e9c9eb3-0139-4b91-85ee-fd338175db0f	22	SSRSSSSSRRSS	MRSA:PVL-
a38de35d-b224-401c-8a46-60e252331f68	22	SSSSSSSSRRSS	MRSA:PVL-
3e3f2e82-8cf3-4a1f-aa40-c3103eb0795a	22	RSSSSSSSRRRS	MRSA:PVL-
c42ce457-e748-4cd4-99cc-6cbe29a94586	22	RSRSSSSSRRRS	MRSA:PVL-
96d1d10d-dc55-4f6b-a4c3-87b787f941d3	22	SSRSSSSSRRSS	MRSA:PVL-
0b2881fd-3fa3-40fb-bd46-b86a1bab9cb0	22	RSSSSSSSRSRS	MSSA:PVL-
e4c6060b-4015-4514-8208-67fb0cecd08f	22	SSRSSSSSRRSS	MRSA:PVL-
79be2f94-ee20-4d45-b3ef-e5fc33158907	22	RSRSSSSSRRRS	MRSA:PVL-
8c0b39c6-03ea-464d-9d6e-a94e37d8a43f	22	SSRSSSSSRRSS	MRSA:PVL-
09550168-0674-4748-84be-c7e04c97d9b3	22	RSRSSSSSRRRS	MRSA:PVL-
2a09a30f-bf6c-4cc0-addc-ca5b54718bcb	22	SSSSSSSSRRSS	MRSA:PVL-
1e4d648c-0382-4d57-8d80-d4c383210e6b	22	RSRSSSSSRRRS	MRSA:PVL-
2efdcae0-9215-4771-bf84-29a326352eea	22	RSRSSSSSRRRS	MRSA:PVL-
dc525872-7c62-4332-9d1e-f79d1942256d	22	SSRSSSSSRRSS	MRSA:PVL-
50abb8bb-c2da-4fc6-a32b-4e905b85eba4	22	RSRSSSSSRRRS	MRSA:PVL-
a87e6146-8601-47ea-aaab-a24d6f2fbb5c	22	RSRSSSSSRRRS	MRSA:PVL-
86dd4e9d-00fe-46bd-8652-23ac58deabb0	398	RSSSRSSSRRRS	MRSA:PVL-
bae72bbd-3c30-4bd0-a138-522dde4079a3	22	SSSSSSSSSSSS	MSSA:PVL-
da50d3cb-056c-4b81-b20f-70f8feac0e72	22	RSRSSSSSRRRS	MRSA:PVL-
9d6343f9-414e-4a2e-8214-2583c6bde6fd	22	RSRSSSSSRRRS	MRSA:PVL-
33f037b6-d0bc-4c97-a0af-d18d908ee616	22	SSRSSSSSRRSS	MRSA:PVL-
aacb82b8-cea3-44f3-8e6f-7cac89471e5f	22	SSRSSSSSRRSS	MRSA:PVL-
cd1e1a2f-5c46-4a75-a58c-d8b352835980	22	RSRSSSSSRRRS	MRSA:PVL-
e33f6922-4b52-47ff-9e5a-608f276e2259	22	RSRSSSSSRRRS	MRSA:PVL-
a9be2b54-04d4-41ad-be90-2a59304c503f	22	RSRSSSSSRRRS	MRSA:PVL-
9129835f-1920-4c3a-bc44-4a97ea7f45c0	22	RSRSSSSSRRRS	MRSA:PVL-
5acc9932-31fd-4167-8efd-1f955148d72c	902	SSRSSSSSRRSR	MRSA:PVL-
3eced996-d093-46fc-9993-9908bf301235	22	RSRSSSSSRRRS	MRSA:PVL-
bd16f779-f9a3-42fd-a330-26a0f97b135a	22	RSRSSSSSRRRS	MRSA:PVL-
c160d8b3-955d-44f6-b050-90f4844f7054	22	RSRSSSSSRRRS	MRSA:PVL-
e9bf882d-126d-4674-b442-591fd742f309	22	RSRSSSSSRRRS	MRSA:PVL-
6b0bc523-1cfd-4f8c-9025-68023aff852f	244	RSSSSSRRRRRS	MRSA:PVL+
9942f57f-c9c5-47cc-81df-09750acbbc99	22	RSRSSSSSRRRS	MRSA:PVL-
c3b38547-a42b-4363-9a77-71a69534411d	22	SSSSSSSSRRSR	MRSA:PVL+
30f1b35c-2f0f-4eca-a883-5aa653fa0d15	1082	RSRSSSSSRRRS	MRSA:PVL-
229e465d-2d13-46d9-bfde-31e48f0da69e	22	SSSSSSSSRRSS	MRSA:PVL+
38abbf41-d0fa-4c25-8aa9-87450d01b6e9	22	SSRSSSSSRRSS	MRSA:PVL-
bf3fe66f-7dc0-4250-8421-d40431a03ee1	398	SSSSRSSSRRSS	MRSA:PVL-
cc931c05-9626-4626-b64a-6dcb6e7b5989	398	SSSSRSSRRRSS	MRSA:PVL-
0992b4fe-5143-402f-be33-2df896ebd6ce	22	SSRSSSSSRRSS	MRSA:PVL-
7e34d72a-ff1e-408c-a71a-1dd105da7777	22	SSSSSSSSRRSR	MRSA:PVL+
3d4b1592-119c-49c5-837b-ddc5d7b9099f	22	RSRSSSSSRRRS	MRSA:PVL-
d90fd646-fdc0-4073-a694-706fb7c8b87d	22	SSSSSSSSRSSS	MSSA:PVL-
c7aff950-7780-4d04-84df-0a38a2a54445	22	SSRSSSSSRSSS	MSSA:PVL-
efac97b9-193f-4dee-a407-6a37e6f8f642	22	SSSSSSSSRRSR	MRSA:PVL+
666f8543-a027-4f88-8f3f-9765f436025e	22	RSRSSSSSRRRS	MRSA:PVL-
4da399c5-3e78-4d0b-9f48-385a5ab1b081	22	RSRSSSSSRRRS	MRSA:PVL-
906f3dee-f2c7-438d-b3eb-2a648b2adb33	398	RSSSRSSRRSRS	MSSA:PVL-
3380d4f5-8548-430b-9e1a-8a044ebc7fd5	22	RSRSSSSSRRRS	MRSA:PVL-
5a8b8868-d2e6-4290-a0c9-fb39dd5ceb7b	22	SSRSSSSSRRSS	MRSA:PVL-
323f14d0-86ef-4280-99bf-a8e94f4c015d	22	RSRSSSSSRRRS	MRSA:PVL-
da228c83-822c-4b86-8cf7-debc34798144	22	SSSSRSSSRSSS	MSSA:PVL-
40d55727-b4d6-40b5-9b53-9e7768c7a459	22	RSRSSSSSRRRS	MRSA:PVL-
0a506f57-7caf-4105-a439-5169aba8bf19	22	RSRSSSSSRRRS	MRSA:PVL-
86aebf0e-2b72-4cea-8e8e-8c1eb30a9cfa	22	SSSSSSRSRSSS	MSSA:PVL+
dd5e052b-01a4-406d-8629-dbf7cc4d23f5	22	RSSSSSSSRSRS	MSSA:PVL-
c64910d0-a62a-43ae-bb1a-43450a773401	22	SSSSSSSSRRSR	MRSA:PVL+
36ac4cfc-d34e-47c1-86eb-64106d1e2e13	22	SSSSSSSSRRSR	MRSA:PVL+
