uuid	lineage	genotype	susceptibility
18826801-6504-4bd9-a8bf-a37b3091ea7b	Beijing_East_Asia		SSSSSSSSSSS
90e5aa06-3bf3-4d6f-9bea-b68adbc6a8de	Beijing_East_Asia		SSSSSRSSSSS
fb96247b-b198-4a7b-aad2-b094b9975915	Beijing_East_Asia		SSSSSRSSSSS
a4966672-3ca2-4fa8-9c98-227762dfa1b2	Beijing_East_Asia		SSSSSRSSRSS
d52ba67e-2134-42fa-87fb-438bcab957d6	Beijing_East_Asia		SSSSSRSSSSS
e0d655d0-ef88-4cae-92ba-f4105a037bfb	Beijing_East_Asia		SSSSSRSSSSS
4d475658-2383-4d73-9085-2d67510a8753	Beijing_East_Asia		SSSSSRSSSSS
d1ebd316-7842-4fd9-a103-e14f444fbb67	Beijing_East_Asia		SSSSSRSSSSS
cbb116e6-3e98-46eb-b14c-4d23345fc071	Beijing_East_Asia		SSSSSSSSSSS
75fcf6dd-9f8f-488d-9811-553b41d32052	Beijing_East_Asia		SSSSSSSSSSS
5b7c9fc7-f02b-4cbf-bea6-71b738646fe2	Beijing_East_Asia		SSSSSSSSSSS
bb953f01-da94-4518-9f58-af1787533ce7	European_American		SSSSSSSSSSS
867e97cc-9627-4f6f-ad98-3b9077c9a40a	European_American		SSSSSSSSSSS
4f7ad4c2-209b-47b6-9cce-706c05870f0f	Beijing_East_Asia		SSSSSSSSSSS
ad0dc8ca-9918-415e-b846-99e7df403a96	Beijing_East_Asia		SSSSSSSSSSS
fcc23fc1-09ff-4a5b-b32c-be71eaa70694	Beijing_East_Asia		SSSSSSSSRSr
8424ef35-8231-4918-8b58-359218c95394	Beijing_East_Asia		SSSSSSSSSSS
eebe13ed-1e81-424e-93b2-d6fdd3960755	Beijing_East_Asia		SSSSSSSSSSS
72ddc314-ee62-4c3e-9c19-cb89fa52a2a7	Beijing_East_Asia		SSSSSSSSSSS
281b6ef1-653e-4c64-9f49-1896b0793f84	Beijing_East_Asia		SSSSSSSSRSS
d15a58e0-c7aa-46a0-89d3-6747d69d48c8	Beijing_East_Asia		SSSSSSSSSSS
5ba08478-baa8-420d-8405-21e0c719bdf8	East_Africa_Indian_ocean		SSSSSSSSSSS
