uuid	lineage	genotype	susceptibility
5884552d-79c2-4238-ae4d-a9af6eefac18	29	KL54-O1v2	
99076c7c-5a8d-45ab-be65-601345da9f4b	29	KL54-O1/O2v2	
605f1b16-f0ba-47e5-ba22-0d36efaeb522	258	KL107-O2v2	
e2a8b2e3-2044-43d7-91ca-72be0fdf4cde	1593	KL137-O3b	
a6dd4e62-5ae5-44d4-9168-3b73d55ab2b6	258	KL107-O2v1	
09f1cc48-5ab5-4aff-a2c1-af6265cc9320	2252	KL147-O2v2	
6ecc882e-4248-4b93-9610-edbe4dde0868	258	KL106-O2v2	
bc4dfefe-3c8f-40a2-b42e-51f410278d2c	258	KL107-O2v2	
053e03f3-1a2e-420d-b86d-04608b6ca3ba	258	KL107-O2v2	
6e493e0c-71e9-43ab-b65d-80cacc20d326	225	KL3-O2v1	
740ac1c0-b3ee-41cc-84a3-7db2a95a2168	225	KL3-O2v1	
6eb84ead-04d6-4e23-a239-4a60d3b7170b	225	KL107-O2v1	
50f81b8a-5b06-427b-bafa-3beaac348de6	225	KL107-O2v2	
ad321ad9-7b92-414f-acb1-df2379d0e316	258	KL107-O2v2	
86e8ca4a-8577-4d8c-b1a5-d5cc98de0cb0	15	KL62-O1v1	
6cb1f104-1e92-462d-91c7-e49b47f0a825	15	KL62-O1v1	
870d790b-38f4-404c-a679-b3f0e1eb4ad4	15	KL62-O1v1	
f0265d7c-5e4b-4fed-85ca-7e1e4764d953	15	KL62-O1v1	
f2384fc7-c49b-46e3-adb6-3993373c4c7a	15	KL62-O1v1	
3c290444-6594-4edc-99b5-1506e74ca04b	15	KL62-O1v1	
7336ecdb-d247-41a2-9930-9bd8af6ca155	15	KL62-O1v1	
fa012a9d-0b31-4e2e-9922-5e015b18b585	15	KL62-O1v1	
46a73ce4-f2a0-44c7-9801-b90c3607b447	307	KL102-O2v2	
8e80c988-4e0d-483d-aa95-a79af297ff9f	15	KL62-O1v1	
39dfa209-27f4-46de-97c8-7a3153a3efd8	15	KL62-O1v1	
ee04317c-991b-4c92-bbe3-f65a914e3361	15	KL62-O1v1	
1b77e63b-3691-4cfc-abe5-43835eccd48b	15	KL62-O1v1	
d2f6c48a-6c74-4991-8bd3-298c6f13700d	395	KL108-O1v2	
a7e0d80a-a2ac-41e8-bb53-80b66b791364	15	KL62-O1v1	
e4d525be-8d6f-48ba-a116-2f0ba7241478	15	KL62-O1v1	
2b7ca063-9f4b-4f30-a6a5-d13a77e9dba8	16	KL51-O3b	
dfacd34a-d5a8-4617-a61b-bb1959267a58	16	KL51-O3b	
f74c2c63-92e6-4d27-863b-f38178a52696	2353	KL109-OL101	
296e2c3a-f64d-4978-82ff-f2d65b85f12b	16	KL51-O3b	
bad9b7be-e7be-421d-9fc4-ad1cffbbbd58	16	KL51-O3b	
0f17f75b-ddd2-4830-9e4e-2386b4a85374	395	KL108-O1v2	
f1c620b0-e47e-4297-90b5-16755205e8f7	1	KL107-OL101	
55c400eb-54b7-4708-a957-4dc90b578f37	844	KL30-O2v2	
b6baf091-4eb4-4bda-9cbb-0b8b05e32eee	15	KL13-O3b	
0c1a2675-a1ba-4de0-a7f5-8f1da5b0bb05	2785	KL31-O3b	
347f557d-30c4-4b3b-a16e-6da3f6d143ed	11	KL42-O4	
30288ed9-c5e4-49ef-a417-ed6a301d8eb1	844	KL30-O2v2	
56c4b941-ffdf-4f93-8aee-74ff461d5b1d	1916	KL27-O1v1	
d993d405-52e6-4493-b4ec-82b8d36af2e2	2791	KL107-OL102	
5ce57de4-8b7e-4188-af36-c196d3875f7a	231	KL51-O1v2	
